price_in_rp,district,city,lat,long,facilities,property_type,ads_id,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,certificate,electricity,maid_bedrooms,maid_bathrooms,floors,year_built,property_condition,building_orientation,garages,furnishing
1100000000.0,Tangerang Kota, Tangerang,-6.1766875,106.650034,Jalur Telepon,rumah,hos11364364,2.0,2.0,45.0,120.0,0.0,"lainnya (ppjb,girik,adat,dll)",4400.0,0.0,0.0,2.0,,baru,utara,0.0,unfurnished
4500000000.0,Tangerang Kota, Tangerang,-6.1766875,106.650034," Keamanan, CCTV,  Jogging Track,  Taman, Tempat Jemuran, Jalur Telepon, Wastafel, Track Lari, Taman, Tempat Gym,  Jalur Telepon",rumah,hos11360001,,,225.0,200.0,0.0,shm - sertifikat hak milik,3300.0,0.0,0.0,1.0,2016.0,sudah renovasi,timur,0.0,unfurnished
900000000.0,Pondok Cabe, Tangerang,-6.3508185,106.7612094,"Taman, AC,  Keamanan,  CCTV",rumah,hos10891007,2.0,3.0,70.0,86.0,1.0,shm - sertifikat hak milik,3500.0,1.0,0.0,2.0,2022.0,baru,selatan,0.0,unfurnished
2520000000.0,Pondok Cabe, Tangerang,-6.3508185,106.7612094,"Keamanan, Taman",rumah,hos10899120,4.0,3.0,132.0,125.0,2.0,shm - sertifikat hak milik,5500.0,0.0,0.0,2.0,,bagus,,0.0,unfurnished
2300000000.0,Pondok Cabe, Tangerang,-6.3508185,106.7612094," Ac,  Keamanan, CCTV,  Jogging Track,  Taman, Jalur Telepon,  Masjid",rumah,hos11044897,3.0,,132.0,125.0,2.0,shm - sertifikat hak milik,5500.0,1.0,1.0,2.0,,bagus,,0.0,semi furnished
1300000000.0,Pondok Cabe, Tangerang,-6.3508185,106.7612094," Keamanan,  Jogging Track, Jalur Telepon,  Masjid,  Kolam Renang, Taman",rumah,hos8830044,3.0,2.0,126.0,100.0,1.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,2015.0,bagus,timur,0.0,unfurnished
485000000.0,Pondok Cabe, Tangerang,-6.3508185,106.7612094," Mesin Cuci, Kulkas,  Kitchen Set, Jalur Telepon, Wastafel,  Track Lari, Keamanan 24 jam,  CCTV,  AC,  Pemanas Air, Lapangan Bulu Tangkis,  Playground, Masjid,  Taman, Lapangan Bola, Tempat Jemuran,  Akses Parkir,  One Gate System,  Tempat Laundry",rumah,hos11323641,2.0,1.0,70.0,40.0,1.0,shm - sertifikat hak milik,1300.0,0.0,0.0,1.0,2022.0,baru,selatan,0.0,unfurnished
4000000000.0,Pondok Cabe, Tangerang,-6.3508185,106.7612094,"Masjid,  Keamanan,  Jogging Track, Lapangan Tenis, Lapangan Basket, Tempat Jemuran,  Track Lari,  Kolam Renang, Taman",rumah,hos11244886,3.0,4.0,300.0,240.0,2.0,shm - sertifikat hak milik,3500.0,1.0,1.0,2.0,2022.0,baru,selatan,6.0,unfurnished
660000000.0,Pondok Cabe, Tangerang,-6.3508185,106.7612094," Keamanan,  Jogging Track,  Taman, Tempat Jemuran, Jalur Telepon,  Masjid, Track Lari, Taman",rumah,hos11318503,3.0,2.0,64.0,60.0,1.0,shm - sertifikat hak milik,1300.0,0.0,0.0,2.0,2022.0,baru,timur,0.0,unfurnished
1400000000.0,Pondok Cabe, Tangerang,-6.3508185,106.7612094,"Tempat Jemuran, Keamanan 24 jam, AC, Wastafel,  CCTV, Taman,  One Gate System,  Playground",rumah,hos11097086,3.0,3.0,80.0,84.0,2.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,2022.0,baru,,2.0,semi furnished
1400000000.0,Pondok Cabe, Tangerang,-6.3508185,106.7612094,"Lapangan Bola, Keamanan, Keamanan 24 jam, Wastafel",rumah,hos11360480,3.0,3.0,60.0,87.0,0.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,2022.0,baru,,0.0,unfurnished
655000000.0,Pondok Cabe, Tangerang,-6.3508185,106.7612094,"Kulkas, Masjid,  Taman, Lapangan Bola, Tempat Jemuran, Jalur Telepon, Lapangan Bulu Tangkis,  Track Lari, Keamanan 24 jam, Wastafel,  Akses Parkir,  One Gate System,  AC,  Tempat Laundry,  Playground",rumah,hos11359056,3.0,2.0,64.0,60.0,1.0,shm - sertifikat hak milik,1300.0,0.0,0.0,2.0,2022.0,baru,timur,2.0,semi furnished
1600000000.0,Graha Raya, Tangerang,-6.2327938,106.6804959,"Keamanan,  Masjid, Taman",rumah,hos11125162,3.0,2.0,120.0,70.0,1.0,shm - sertifikat hak milik,2200.0,1.0,1.0,1.0,2011.0,butuh renovasi,,0.0,unfurnished
3100000000.0,Graha Raya, Tangerang,-6.2327938,106.6804959,"Masjid,  Taman, Keamanan, Keamanan 24 jam,  Masjid, Taman",rumah,hos9362543,4.0,3.0,210.0,300.0,2.0,shm - sertifikat hak milik,3500.0,1.0,1.0,2.0,,bagus,,1.0,semi furnished
1220000000.0,Graha Raya, Tangerang,-6.2327938,106.6804959," Taman, Tempat Jemuran, Akses Parkir, Keamanan 24 jam, Wastafel,  CCTV, Taman,  One Gate System",rumah,hos11109084,3.0,2.0,60.0,60.0,1.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,2022.0,bagus,timur,0.0,unfurnished
1670000000.0,Graha Raya, Tangerang,-6.2327938,106.6804959,Keamanan,rumah,hos10004774,3.0,1.0,112.0,90.0,1.0,shm - sertifikat hak milik,2200.0,1.0,1.0,1.0,2022.0,baru,,0.0,unfurnished
1350000000.0,Graha Raya, Tangerang,-6.2327938,106.6804959," Taman, Tempat Jemuran, Akses Parkir, Keamanan 24 jam, AC,  CCTV, Track Lari, Taman,  One Gate System,  Playground",rumah,hos11335880,2.0,2.0,90.0,50.0,1.0,shm - sertifikat hak milik,2200.0,1.0,0.0,1.0,,bagus,utara,1.0,unfurnished
1200000000.0,Graha Raya, Tangerang,-6.2327938,106.6804959,"Keamanan, AC, Ac",rumah,hos11362014,2.0,2.0,76.0,56.0,1.0,"lainnya (ppjb,girik,adat,dll)",2200.0,0.0,0.0,2.0,,bagus,,0.0,
4900000000.0,Graha Raya, Tangerang,-6.2327938,106.6804959,"One Gate System, Keamanan, Kitchen Set, Keamanan 24 jam, Ac, AC",rumah,hos11361761,5.0,5.0,154.0,500.0,2.0,shm - sertifikat hak milik,7600.0,2.0,2.0,3.0,,bagus,,0.0,
